full_name,max_slack
sbox1_to_invert_reg[0]/RESETN,INFINITY
sbox1_to_invert_reg[3]/RESETN,INFINITY
sbox1_to_invert_reg[1]/RESETN,INFINITY
sbox1_to_invert_reg[2]/RESETN,INFINITY
ks1_key_reg_reg[105]/RESETN,INFINITY
ks1_key_reg_reg[108]/RESETN,INFINITY
ks1_key_reg_reg[73]/RESETN,INFINITY
ks1_key_reg_reg[41]/RESETN,INFINITY
ks1_key_reg_reg[9]/RESETN,INFINITY
ks1_key_reg_reg[12]/RESETN,INFINITY
ks1_key_reg_reg[44]/RESETN,INFINITY
sbox1_alph_reg[3]/RESETN,INFINITY
sub1_data_reg_reg[97]/RESETN,INFINITY
sub1_data_reg_reg[105]/RESETN,INFINITY
sub1_data_reg_reg[73]/RESETN,INFINITY
ks1_col_reg[17]/RESETN,INFINITY
ks1_col_reg[1]/RESETN,INFINITY
sub1_data_reg_reg[33]/RESETN,INFINITY
sub1_data_reg_reg[9]/RESETN,INFINITY
sub1_data_reg_reg[41]/RESETN,INFINITY
sub1_data_reg_reg[89]/RESETN,INFINITY
sub1_data_reg_reg[121]/RESETN,INFINITY
sub1_data_reg_reg[25]/RESETN,INFINITY
sub1_data_reg_reg[57]/RESETN,INFINITY
sub1_data_reg_reg[81]/RESETN,INFINITY
sub1_data_reg_reg[113]/RESETN,INFINITY
sub1_data_reg_reg[49]/RESETN,INFINITY
sub1_data_reg_reg[17]/RESETN,INFINITY
sub1_data_reg_reg[65]/RESETN,INFINITY
ks1_key_reg_reg[77]/RESETN,INFINITY
ks1_key_reg_reg[74]/RESETN,INFINITY
ks1_key_reg_reg[8]/RESETN,INFINITY
ks1_key_reg_reg[72]/RESETN,INFINITY
ks1_key_reg_reg[76]/RESETN,INFINITY
ks1_key_reg_reg[42]/RESETN,INFINITY
ks1_key_reg_reg[10]/RESETN,INFINITY
ks1_key_reg_reg[26]/RESETN,INFINITY
ks1_key_reg_reg[58]/RESETN,INFINITY
ks1_key_reg_reg[43]/RESETN,INFINITY
ks1_key_reg_reg[40]/RESETN,INFINITY
ks1_key_reg_reg[11]/RESETN,INFINITY
ks1_key_reg_reg[15]/RESETN,INFINITY
ks1_key_reg_reg[47]/RESETN,INFINITY
sub1_data_reg_reg[96]/RESETN,INFINITY
sub1_data_reg_reg[100]/RESETN,INFINITY
sub1_data_reg_reg[37]/RESETN,INFINITY
sub1_data_reg_reg[120]/RESETN,INFINITY
sub1_data_reg_reg[92]/RESETN,INFINITY
sub1_data_reg_reg[63]/RESETN,INFINITY
ks1_col_reg[20]/RESETN,INFINITY
ks1_col_reg[4]/RESETN,INFINITY
ks1_col_reg[16]/RESETN,INFINITY
ks1_col_reg[24]/RESETN,INFINITY
ks1_col_reg[25]/RESETN,INFINITY
ks1_col_reg[0]/RESETN,INFINITY
sub1_data_reg_reg[101]/RESETN,INFINITY
sub1_data_reg_reg[36]/RESETN,INFINITY
sub1_data_reg_reg[32]/RESETN,INFINITY
sub1_data_reg_reg[72]/RESETN,INFINITY
sub1_data_reg_reg[108]/RESETN,INFINITY
sub1_data_reg_reg[40]/RESETN,INFINITY
sub1_data_reg_reg[104]/RESETN,INFINITY
sub1_data_reg_reg[44]/RESETN,INFINITY
sub1_data_reg_reg[12]/RESETN,INFINITY
sub1_data_reg_reg[8]/RESETN,INFINITY
sub1_data_reg_reg[77]/RESETN,INFINITY
sub1_data_reg_reg[13]/RESETN,INFINITY
sub1_data_reg_reg[76]/RESETN,INFINITY
sub1_data_reg_reg[109]/RESETN,INFINITY
sub1_data_reg_reg[45]/RESETN,INFINITY
sub1_data_reg_reg[88]/RESETN,INFINITY
sub1_data_reg_reg[124]/RESETN,INFINITY
sub1_data_reg_reg[24]/RESETN,INFINITY
ks1_col_reg[5]/RESETN,INFINITY
ks1_col_reg[21]/RESETN,INFINITY
sub1_data_reg_reg[28]/RESETN,INFINITY
sub1_data_reg_reg[60]/RESETN,INFINITY
sub1_data_reg_reg[125]/RESETN,INFINITY
first_round_reg_reg/RESETN,INFINITY
mix1_ready_o_reg/RESETN,INFINITY
ks1_state_reg[2]/RESETN,INFINITY
mix1_data_o_reg_reg[95]/RESETN,INFINITY
mix1_data_o_reg_reg[78]/RESETN,INFINITY
mix1_data_o_reg_reg[55]/RESETN,INFINITY
mix1_data_o_reg_reg[60]/RESETN,INFINITY
mix1_data_o_reg_reg[56]/RESETN,INFINITY
mix1_data_o_reg_reg[83]/RESETN,INFINITY
mix1_data_o_reg_reg[51]/RESETN,INFINITY
mix1_data_o_reg_reg[86]/RESETN,INFINITY
mix1_data_o_reg_reg[71]/RESETN,INFINITY
mix1_data_o_reg_reg[84]/RESETN,INFINITY
mix1_data_o_reg_reg[87]/RESETN,INFINITY
mix1_data_o_reg_reg[76]/RESETN,INFINITY
mix1_data_o_reg_reg[110]/RESETN,INFINITY
mix1_data_o_reg_reg[42]/RESETN,INFINITY
mix1_data_o_reg_reg[68]/RESETN,INFINITY
mix1_data_o_reg_reg[121]/RESETN,INFINITY
mix1_data_o_reg_reg[48]/RESETN,INFINITY
mix1_data_o_reg_reg[120]/RESETN,INFINITY
mix1_data_o_reg_reg[80]/RESETN,INFINITY
mix1_data_o_reg_reg[119]/RESETN,INFINITY
mix1_data_o_reg_reg[99]/RESETN,INFINITY
mix1_data_o_reg_reg[39]/RESETN,INFINITY
mix1_data_o_reg_reg[111]/RESETN,INFINITY
mix1_data_o_reg_reg[63]/RESETN,INFINITY
mix1_data_o_reg_reg[47]/RESETN,INFINITY
mix1_data_o_reg_reg[85]/RESETN,INFINITY
mix1_data_o_reg_reg[115]/RESETN,INFINITY
mix1_data_o_reg_reg[124]/RESETN,INFINITY
