ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
rd1_Key_o_reg[46]/D,20.928436,40.637054,264.934418,261.796021,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,302.433075,261.796021,40.637054,23,0.000244,rd1_Key_o_reg[46]/CLK,fall
rd1_Key_o_reg[30]/D,23.453247,40.660431,260.118073,258.441589,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,299.10202,258.441589,40.660431,21,0.000244,rd1_Key_o_reg[30]/CLK,fall
rd1_L_o_reg[31]/D,16.817154,41.577423,223.879013,212.656784,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,254.234207,212.656799,41.577423,15,0.000000,rd1_L_o_reg[31]/CLK,fall
rd1_Key_o_reg[44]/D,25.054260,42.545074,260.187103,259.257935,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,301.803009,259.257996,42.545074,23,0.000244,rd1_Key_o_reg[44]/CLK,fall
rd1_L_o_reg[11]/D,21.510498,43.784088,228.207764,227.858215,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,271.642303,227.858215,43.784088,15,0.000000,rd1_L_o_reg[11]/CLK,fall
rd1_Key_o_reg[49]/D,18.694427,45.896729,267.391907,263.656616,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,309.553345,263.656616,45.896729,23,0.000244,rd1_Key_o_reg[49]/CLK,fall
rd1_Key_o_reg[29]/D,22.166809,45.927399,262.352020,254.913788,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,300.841187,254.913788,45.927399,21,0.000244,rd1_Key_o_reg[29]/CLK,fall
rd1_Key_o_reg[41]/D,12.043915,46.274902,272.787323,255.307587,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,301.582489,255.307602,46.274902,21,0.000244,rd1_Key_o_reg[41]/CLK,fall
rd1_L_o_reg[28]/D,25.315536,47.479202,236.456589,236.443893,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,283.923096,236.443909,47.479202,17,0.000244,rd1_L_o_reg[28]/CLK,fall
rd1_L_o_reg[2]/D,24.321243,50.653824,213.292053,202.072662,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,252.726486,202.072647,50.653824,15,0.000000,rd1_L_o_reg[2]/CLK,fall
rd1_L_o_reg[15]/D,34.408157,55.766525,231.228531,231.668137,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,287.434662,231.668167,55.766525,17,0.000244,rd1_L_o_reg[15]/CLK,fall
rd1_L_o_reg[7]/D,36.343475,58.336990,228.404266,227.733047,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,286.070038,227.733093,58.336990,17,0.000244,rd1_L_o_reg[7]/CLK,fall
rd1_L_o_reg[29]/D,35.095291,60.999222,224.359390,220.897903,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,281.897095,220.897919,60.999222,15,0.000244,rd1_L_o_reg[29]/CLK,fall
rd1_L_o_reg[9]/D,39.746857,62.814133,244.031860,243.952469,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,306.766602,243.952469,62.814133,19,0.000244,rd1_L_o_reg[9]/CLK,fall
rd1_L_o_reg[16]/D,34.457458,63.494904,229.049255,221.765656,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,285.260559,221.765671,63.494904,13,0.000244,rd1_L_o_reg[16]/CLK,fall
rd1_L_o_reg[14]/D,31.890930,63.720123,229.609436,219.856201,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,283.576324,219.856216,63.720123,13,0.000244,rd1_L_o_reg[14]/CLK,fall
data_ready_reg/D,47.260757,63.991806,236.108047,242.687759,stage1_iter_reg[0]/CLK,54.749596,54.749596,0.000000,306.679565,242.687714,63.991806,19,0.000244,data_ready_reg/CLK,fall
rd1_L_o_reg[26]/D,38.198807,65.425674,221.750809,216.719254,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,282.144928,216.719269,65.425674,15,0.000244,rd1_L_o_reg[26]/CLK,fall
rd1_L_o_reg[25]/D,39.120026,71.801315,227.902191,217.708633,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,289.509949,217.708618,71.801315,15,0.000244,rd1_L_o_reg[25]/CLK,fall
rd1_L_o_reg[23]/D,50.810577,72.524475,218.253967,218.882324,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,291.406799,218.882324,72.524475,15,0.000244,rd1_L_o_reg[23]/CLK,fall
rd1_L_o_reg[18]/D,42.198502,73.295532,222.106674,213.071716,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,286.367249,213.071716,73.295532,15,0.000244,rd1_L_o_reg[18]/CLK,fall
rd1_L_o_reg[24]/D,42.236938,73.712189,227.616150,217.907959,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,291.620148,217.907974,73.712189,13,0.000244,rd1_L_o_reg[24]/CLK,fall
stage1_iter_reg[3]/D,53.248001,74.174713,231.856461,222.479706,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,296.654419,222.479691,74.174713,13,0.000244,stage1_iter_reg[3]/CLK,fall
rd1_L_o_reg[22]/D,57.742371,77.964401,228.398010,231.355515,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,309.319916,231.355515,77.964401,17,0.000244,rd1_L_o_reg[22]/CLK,fall
rd1_L_o_reg[17]/D,44.347244,79.414200,236.402725,222.339981,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,301.754181,222.339981,79.414200,15,0.000244,rd1_L_o_reg[17]/CLK,fall
rd1_L_o_reg[8]/D,56.406845,80.687805,225.038071,223.537598,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,304.225403,223.537628,80.687805,15,0.000244,rd1_L_o_reg[8]/CLK,fall
