full_name,actual_rise_transition_max,actual_fall_transition_max,cached_ceff_max_rise,cached_ceff_max_fall,cached_ceff_min_rise,cached_ceff_min_fall,fanout_load,pin_capacitance_max,direction,max_rise_slack,max_fall_slack,max_rise_arrival,max_fall_arrival,actual_rise_transition_min,actual_fall_transition_min,min_rise_slack,min_fall_slack,min_rise_arrival,min_fall_arrival,x_coordinate,y_coordinate
g41645__1666_dup/Y,36.544338,31.758854,0.008944,0.008951,0.006715,0.006748,0.000000,0.000000,out,-115.593719,-115.311874,277.810699,272.592133,28.127983,22.292120,28.664560,37.089592,57.257179,56.907608,5256.000000,7803.000000
g41645__1666/Y,30.497398,26.489420,0.007140,0.007121,0.005483,0.005450,0.000000,0.000000,out,-118.829117,-112.012451,275.209625,270.511292,22.699556,17.595665,39.420082,35.954601,55.595963,55.477432,5418.000000,8253.000000
FE_OFC123_n_463/Y,22.029238,20.591686,0.002977,0.003040,0.002530,0.002544,0.000000,0.000000,out,-101.688766,-106.203766,238.276611,242.744171,17.634037,15.455434,60.440575,54.461456,43.804977,41.828335,15210.000000,11493.000000
g128/Y,25.106117,21.433605,0.001329,0.001324,0.001115,0.001033,0.000000,0.000000,out,18.409622,17.446838,238.561569,242.258209,19.628685,15.453360,-11.180309,-8.831524,40.821709,39.108578,13050.000000,3393.000000
g46538_dup/Y,44.872055,34.461491,0.004694,0.004686,0.003847,0.003817,0.000000,0.000000,out,-114.293243,-108.290344,269.103729,263.041534,17.739285,22.331524,76.290283,66.950081,52.530014,43.643604,7326.000000,11997.000000
g46538/Y,48.719666,37.419025,0.005401,0.005394,0.003427,0.003416,0.000000,0.000000,out,-117.962524,-120.986755,270.237610,264.523987,16.485220,20.608616,83.535858,64.446602,51.362553,42.741440,7218.000000,12159.000000
g41529__55511/Y,25.518393,22.436235,0.006119,0.006110,0.005043,0.005038,0.000000,0.000000,out,-116.736710,-113.865707,265.920319,264.901093,19.232904,18.334448,59.461849,56.399281,53.656113,57.557144,10404.000000,12033.000000
g41529__55511_dup/Y,30.157251,26.020523,0.007524,0.007485,0.006082,0.006042,0.000000,0.000000,out,-108.138840,-110.750793,265.476593,265.071899,22.704273,21.015865,49.278790,60.439663,55.344879,59.088028,10890.000000,12123.000000
FE_OFC362_n_3713/Y,10.511082,9.453184,0.000506,0.000506,0.000333,0.000342,0.000000,0.000000,out,2.176758,20.962357,242.712402,236.058426,8.439579,7.893916,31.704857,9.841133,44.069683,43.581379,16236.000000,6093.000000
g54725/Y,24.467369,20.489199,0.000584,0.000583,0.000388,0.000397,0.000000,0.000000,out,-90.455292,-92.227570,354.168762,348.916016,10.175550,11.194468,-1.515816,20.460180,44.247627,44.491528,16164.000000,5679.000000
FE_OFC148_n_12980/Y,13.867160,13.185233,0.001601,0.001605,0.001502,0.001507,0.000000,0.000000,out,-82.649857,-83.078476,222.668411,228.630829,11.512313,9.580982,37.348030,39.231384,32.799732,31.431780,11214.000000,5013.000000
g51929/Y,22.444616,16.775867,0.000909,0.000908,0.000844,0.000827,0.000000,0.000000,out,-79.326843,-70.303101,363.757965,367.051788,10.405709,13.679051,-8.208099,-30.805950,44.527252,42.905262,8730.000000,3483.000000
fopt43147/Y,13.732451,12.867140,0.000606,0.000607,0.000392,0.000396,0.000000,0.000000,out,-81.869080,-90.939056,211.485077,208.863922,9.183846,7.757097,20.434959,-5.727345,37.269238,35.278278,11916.000000,7173.000000
g41857__5115/Y,28.890139,24.151751,0.002705,0.002764,0.002357,0.002366,0.000000,0.000000,out,-8.224014,-11.133987,229.396149,236.389832,25.341763,20.045111,27.989828,35.032089,38.869621,37.331856,9594.000000,4563.000000
FE_OFC363_FE_OCPN13079_FE_OFN85_n_12937/Y,8.155654,7.301253,0.000492,0.000497,0.000397,0.000416,0.000000,0.000000,out,-8.040848,-11.134003,197.692276,202.829285,6.840977,6.282745,66.887840,78.882851,49.277447,54.154213,9918.000000,5013.000000
g43311/Y,16.475498,15.219225,0.000951,0.000949,0.000831,0.000826,0.000000,0.000000,out,-80.947159,-80.070648,202.818695,208.081757,13.345052,11.502131,-17.164036,-51.383274,20.776031,19.972828,10332.000000,3933.000000
g50505/Y,23.440979,17.060938,0.000830,0.000826,0.000711,0.000704,0.000000,0.000000,out,-115.879112,-109.495766,205.224030,207.552338,18.651678,12.721679,45.468178,29.225864,23.272652,19.827610,11448.000000,3933.000000
g43309/Y,11.607544,10.391067,0.002300,0.002293,0.002120,0.002097,0.000000,0.000000,out,-80.070648,-80.947159,233.115250,228.898758,10.129658,9.218963,48.564316,54.484585,42.043446,43.031479,11808.000000,5553.000000
g41625__43312/Y,30.115971,26.052645,0.007660,0.007621,0.006048,0.006005,0.000000,0.000000,out,-78.001907,-76.251663,274.455658,270.643311,24.229000,18.740326,28.351189,37.499298,60.895767,60.123062,11304.000000,5643.000000
FE_OFC138_n_13057/Y,11.997258,11.423876,0.001767,0.001772,0.001525,0.001557,0.000000,0.000000,out,-108.508400,-107.995888,212.760818,210.618164,9.165135,7.428008,60.287560,39.216827,37.816650,32.474476,8298.000000,13653.000000
g393/Y,34.671444,23.576796,0.001407,0.001407,0.000873,0.000894,0.000000,0.000000,out,-116.077179,-116.104874,360.781891,352.524750,18.574907,7.957018,25.831060,30.834187,42.650307,32.748692,6030.000000,15939.000000
FE_OFC373_n_809/Y,14.998538,14.945661,0.000593,0.000591,0.000512,0.000501,0.000000,0.000000,out,-8.998154,-0.348801,227.166016,236.339844,11.536311,9.918154,49.085526,28.186234,37.170876,35.456154,6408.000000,15813.000000
FE_OFC334_n_19231/Y,19.477226,18.769339,0.003811,0.003803,0.003169,0.003181,0.000000,0.000000,out,-90.607315,-94.289841,276.749115,274.124939,15.622168,12.373867,27.959499,36.163536,54.290329,55.252003,14994.000000,5103.000000
